id,publication_year,cited_by_count,author_ids
https://openalex.org/W3022938693,2010,28,"['A5075479948', 'A5034927674', 'A5073592405', 'A5102991788']"
https://openalex.org/W1921209916,2013,24,"['A5007071871', 'A5090620447', 'A5080699613', 'A5015694017', 'A5073592405']"
https://openalex.org/W2613162388,2017,23,"['A5023644163', 'A5028140714', 'A5051758652', 'A5015873569', 'A5073592405']"
https://openalex.org/W2899122827,2018,23,"['A5057981251', 'A5036998377', 'A5048891845', 'A5078171883', 'A5038976962', 'A5034550995']"
https://openalex.org/W3099564279,2015,23,"['A5045620226', 'A5048132210', 'A5072263832', 'A5014647140']"
https://openalex.org/W1916072780,2015,22,"['A5023061106', 'A5046030036', 'A5041421536', 'A5073592405', 'A5031171331']"
https://openalex.org/W2338244598,2015,21,"['A5109078962', 'A5089594511', 'A5028932589']"
https://openalex.org/W3107549912,2020,20,"['A5011168888', 'A5030987696', 'A5014647140', 'A5054707908', 'A5080732494', 'A5000679279']"
https://openalex.org/W3173731808,2021,17,"['A5100454614', 'A5040820784', 'A5046881273', 'A5032530421', 'A5112283852']"
https://openalex.org/W3209478414,2021,16,"['A5087150169', 'A5040820784', 'A5032530421']"
https://openalex.org/W4309672241,2022,11,"['A5011588754', 'A5048181040', 'A5054519023', 'A5055446394', 'A5027079032', 'A5014647140']"
https://openalex.org/W1570977890,2002,38,"['A5073592405', 'A5021537631']"
https://openalex.org/W1615899219,2003,36,"['A5038976962', 'A5007285525', 'A5088333030']"
https://openalex.org/W2170567421,2007,31,"['A5071293344', 'A5060353395']"
https://openalex.org/W1533216910,2007,30,"['A5076852435', 'A5073592405']"
https://openalex.org/W2158526526,2009,27,"['A5014647140', 'A5011256345']"
https://openalex.org/W2163822658,2010,26,"['A5014647140', 'A5088553895', 'A5000038347', 'A5032779977']"
https://openalex.org/W1844628735,2014,21,"['A5013559230', 'A5064296964', 'A5102756489', 'A5011229206', 'A5075956753', 'A5115598991', 'A5109833231', 'A5073189960', 'A5007176508']"
https://openalex.org/W2798885959,2018,19,"['A5071293344', 'A5062285844', 'A5064398083', 'A5033097735']"
https://openalex.org/W2969337083,2019,19,"['A5005700214', 'A5101399912', 'A5014724580', 'A5076259865', 'A5032417423', 'A5071293344']"
https://openalex.org/W2272645513,2015,18,"['A5054940589', 'A5051092148', 'A5071293344', 'A5015483503']"
https://openalex.org/W2981227429,2019,18,"['A5082130337', 'A5033471397', 'A5017700623', 'A5112460175']"
https://openalex.org/W3030862510,2020,16,"['A5078247174', 'A5001989092', 'A5040820784', 'A5032530421']"
https://openalex.org/W3123744018,2021,15,"['A5076364930', 'A5037569091', 'A5054913386', 'A5020533147', 'A5056499434', 'A5028448267']"
https://openalex.org/W3165703566,2021,14,"['A5046790968', 'A5076067124', 'A5064987258', 'A5038976962']"
https://openalex.org/W3205955408,2021,14,"['A5112581431', 'A5031106143', 'A5020290167', 'A5015719908', 'A5012721663', 'A5111561257', 'A5060270971', 'A5035628923', 'A5035064433']"
https://openalex.org/W1639158453,2005,29,"['A5014647140', 'A5000038347']"
https://openalex.org/W2014075759,2007,24,"['A5074213306', 'A5018260791', 'A5113886631']"
